Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
1/21/21,Amazon.com,,1/22/21,Shipped,$17.99 ,$0.00 ,$1.82 ,$0.00 ,$1.82 ,$19.81 
1/22/21,Amazon.com,,1/22/21,Shipped,$14.57 ,$0.00 ,$1.47 ,$0.00 ,$1.47 ,$16.04 
1/30/21,Amazon.com,,1/31/21,Shipped,$9.69 ,$0.00 ,$0.98 ,$0.00 ,$0.98 ,$10.67 
4/18/21,Amazon.com,,4/18/21,Shipped,$26.99 ,$0.00 ,$2.73 ,$0.00 ,$2.73 ,$29.72 
5/23/21,Amazon.com,,5/24/21,Shipped,$24.98 ,$0.00 ,$2.45 ,$0.75 ,$2.45 ,$26.68 
6/20/21,Amazon.com,,6/21/21,Shipped,$6.99 ,$0.00 ,$0.71 ,$0.00 ,$0.71 ,$7.70 
7/29/21,Amazon.com,,7/29/21,Shipped,$17.99 ,$0.00 ,$1.82 ,$0.00 ,$1.82 ,$19.81 
7/29/21,Amazon.com,,7/29/21,Shipped,$5.99 ,$0.00 ,$0.60 ,$0.00 ,$0.60 ,$6.59 
7/31/21,Amazon.com,,8/2/21,Shipped,$14.99 ,$0.00 ,$1.51 ,$0.00 ,$1.51 ,$16.50 
7/31/21,Amazon.com,,8/2/21,Shipped,$28.99 ,$0.00 ,$2.93 ,$0.00 ,$2.93 ,$31.92 
8/12/21,Amazon.com,,8/14/21,Shipped,$29.74 ,$0.00 ,$3.00 ,$0.00 ,$3.00 ,$32.74 
8/17/21,Amazon.com,,8/19/21,Shipped,$89.99 ,$0.00 ,$9.09 ,$0.00 ,$9.09 ,$99.08 
8/19/21,Amazon.com,,8/20/21,Shipped,$22.49 ,$0.00 ,$2.27 ,$0.00 ,$2.27 ,$24.76 
8/20/21,Amazon.com,,8/22/21,Shipped,$34.99 ,$0.00 ,$3.53 ,$0.00 ,$3.53 ,$38.52 
8/20/21,Amazon.com,,8/22/21,Shipped,$46.99 ,$0.00 ,$4.75 ,$0.00 ,$4.75 ,$51.74 
8/27/21,Amazon.com,,8/28/21,Shipped,$14.95 ,$0.00 ,$1.51 ,$0.00 ,$1.51 ,$16.46 
8/31/21,Amazon.com,,9/1/21,Shipped,$8.99 ,$0.00 ,$0.91 ,$0.00 ,$0.91 ,$9.90 
9/3/21,Amazon.com,,9/5/21,Shipped,$13.99 ,$0.00 ,$1.41 ,$0.00 ,$1.41 ,$15.40 
9/3/21,Amazon.com,,9/4/21,Shipped,$16.99 ,$0.00 ,$1.72 ,$0.00 ,$1.72 ,$18.71 
9/9/21,Amazon.com,,9/10/21,Shipped,$29.98 ,$0.00 ,$3.03 ,$0.00 ,$3.03 ,$33.01 
9/11/21,Amazon.com,,9/13/21,Shipped,$29.99 ,$0.00 ,$3.03 ,$0.00 ,$3.03 ,$33.02 
9/11/21,Amazon.com,,9/13/21,Shipped,$34.99 ,$0.00 ,$3.53 ,$0.00 ,$3.53 ,$38.52 
9/11/21,Amazon.com,,9/13/21,Shipped,$46.99 ,$0.00 ,$4.75 ,$0.00 ,$4.75 ,$51.74 
9/16/21,Amazon.com,,9/18/21,Shipped,$19.97 ,$0.00 ,$2.02 ,$0.00 ,$2.02 ,$21.99 
9/23/21,Amazon.com,,9/24/21,Shipped,$76.97 ,$0.00 ,$7.89 ,$0.00 ,$7.89 ,$84.86 
9/28/21,Amazon.com,,9/29/21,Shipped,$35.99 ,$0.00 ,$3.50 ,$1.80 ,$3.50 ,$37.69 
10/1/21,Amazon.com,,10/1/21,Shipped,$15.99 ,$0.00 ,$1.64 ,$0.00 ,$1.64 ,$17.63 
